,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ginda,30.6945,78.4932,49.69,57,98,4.21,IN,1635037541
1,Great Falls,47.5002,-111.3008,49.41,45,1,8.01,US,1635037569
2,Wahpeton,46.2652,-96.6059,43.61,75,40,8.05,US,1635037685
3,Codrington,-38.2667,141.9667,53.08,63,100,15.28,AU,1635037661
4,Mīzan Teferī,6.9833,35.5833,61.72,69,1,3.11,ET,1635037687
5,Conde,-7.2597,-34.9075,78.26,83,20,6.91,BR,1635037688
6,Castro,-24.7911,-50.0119,61.83,96,100,4.59,BR,1635037688
7,Pisco,-13.7,-76.2167,61.02,82,27,21.85,PE,1635037689
8,Ancud,-41.8697,-73.8203,47.73,76,56,8.66,CL,1635037654
9,Atuona,-9.8,-139.0333,78.19,79,9,17.52,PF,1635037673
10,New Norfolk,-42.7826,147.0587,54.66,73,100,1.99,AU,1635037692
11,Clyde River,70.4692,-68.5914,18.3,82,95,13.24,CA,1635037693
12,Tasiilaq,65.6145,-37.6368,32.16,95,100,8.16,GL,1635037694
13,Shelburne,44.0787,-80.2041,42.76,87,72,5.1,CA,1635037695
14,Cape Town,-33.9258,18.4232,56.1,75,4,5.5,ZA,1635037696
15,Ushuaia,-54.8,-68.3,33.46,93,90,17.27,AR,1635037483
16,Kalmar,56.6616,16.3616,28.33,100,100,0.0,SE,1635037460
17,Otradnoye,59.7775,30.8181,34.56,89,84,9.24,RU,1635037698
18,Hamilton,39.1834,-84.5333,56.25,83,90,0.0,US,1635037525
19,Sitka,57.0531,-135.33,48.09,61,90,10.36,US,1635037699
20,Hobyo,5.3505,48.5268,78.66,80,1,7.54,SO,1635037700
21,Rikitea,-23.1203,-134.9692,75.0,80,100,19.13,PF,1635037701
22,Fort Nelson,58.8053,-122.7002,42.91,81,100,6.04,CA,1635037702
23,Kapaa,22.0752,-159.319,84.18,77,40,5.01,US,1635037703
24,Bouna,9.2667,-3.0,72.9,93,97,3.83,CI,1635037704
25,Faanui,-16.4833,-151.75,78.51,78,88,14.18,PF,1635037704
26,Oodweyne,9.4092,45.064,69.44,33,3,12.12,SO,1635037705
27,Panguna,-6.3164,155.4848,79.79,70,39,2.28,PG,1635037706
28,Taizhou,32.4933,119.9106,62.11,57,79,4.38,CN,1635037556
29,Pangody,65.85,74.4859,25.95,89,57,14.43,RU,1635037707
30,Fortuna,40.5982,-124.1573,62.94,82,90,5.99,US,1635037708
31,São Filipe,14.8961,-24.4956,79.23,68,6,9.62,CV,1635037709
32,Mataura,-46.1927,168.8643,64.89,61,100,1.07,NZ,1635037710
33,Punta Arenas,-53.15,-70.9167,35.71,87,20,13.8,CL,1635037711
34,Harunabad,29.6133,73.1389,68.36,78,22,13.31,PK,1635037712
35,Saint Paul Harbor,57.79,-152.4072,43.29,87,99,20.78,US,1635037712
36,Guerrero Negro,27.9769,-114.0611,67.28,76,0,17.25,MX,1635037713
37,Port Elizabeth,-33.918,25.5701,57.9,64,1,12.46,ZA,1635037647
38,Constitución,-35.3333,-72.4167,50.68,87,0,13.89,CL,1635037715
39,Zhigansk,66.7697,123.3711,25.99,93,100,7.94,RU,1635037716
40,Thompson,55.7435,-97.8558,35.85,73,100,4.16,CA,1635037677
41,Alice Springs,-23.7,133.8833,76.55,22,75,18.41,AU,1635037718
42,Vanavara,60.34,102.2797,31.41,95,100,12.64,RU,1635037719
43,Riyadh,24.6877,46.7219,75.34,24,0,9.53,SA,1635037429
44,Bluff,-46.6,168.3333,52.7,91,100,3.27,NZ,1635037720
45,Enterprise,36.0252,-115.2419,73.94,32,75,7.0,US,1635037721
46,Tortolì,39.9256,9.6572,63.99,91,78,6.15,IT,1635037722
47,Raudeberg,61.9875,5.1352,48.87,84,100,11.01,NO,1635037723
48,Chengde,40.9725,117.9361,47.16,62,0,1.7,CN,1635037724
49,Mar del Plata,-38.0023,-57.5575,55.99,70,40,4.0,AR,1635037724
50,Hermanus,-34.4187,19.2345,54.9,69,36,3.38,ZA,1635037725
51,Takhli,15.2634,100.3438,74.89,87,57,10.0,TH,1635037726
52,Airai,-8.9266,125.4092,77.18,39,58,1.34,TL,1635037727
53,Odesskoye,54.2111,72.9651,44.96,86,18,12.64,RU,1635037728
54,Alappuzha,9.49,76.3264,75.07,85,90,4.29,IN,1635037729
55,Bredasdorp,-34.5322,20.0403,48.27,75,44,1.72,ZA,1635037667
56,Opunake,-39.4556,173.8583,60.33,88,100,11.01,NZ,1635037731
57,Busselton,-33.65,115.3333,71.04,61,100,4.94,AU,1635037679
58,Isabela,6.7085,121.9711,82.92,76,93,2.95,PH,1635037666
59,Severo-Kuril'sk,50.6789,156.125,40.87,85,66,12.17,RU,1635037733
60,Hasaki,35.7333,140.8333,63.28,48,42,5.12,JP,1635037734
61,Camacha,33.0833,-16.3333,66.96,56,40,9.22,PT,1635037735
62,Dikson,73.5069,80.5464,8.91,87,100,14.03,RU,1635037737
63,Saint-Philippe,-21.3585,55.7679,74.75,84,40,13.22,RE,1635037738
64,Pavlodar,52.3,76.95,49.8,76,90,15.66,KZ,1635037739
65,Ribeira Grande,38.5167,-28.7,67.35,63,29,11.77,PT,1635037740
66,Srednekolymsk,67.45,153.6833,-4.23,89,44,4.76,RU,1635037741
67,Chui,-33.6971,-53.4616,56.12,93,100,6.49,UY,1635037742
68,Saravan,39.7196,45.6483,34.45,44,0,4.61,AM,1635037456
69,Lauria,40.0465,15.8358,59.68,87,100,11.52,IT,1635037743
70,Kavaratti,10.5669,72.642,81.18,75,60,2.55,IN,1635037738
71,Carnarvon,-24.8667,113.6333,75.27,69,0,12.66,AU,1635037745
72,Hilo,19.7297,-155.09,85.28,68,1,9.22,US,1635037565
73,Vaini,-21.2,-175.2,77.16,78,20,12.66,TO,1635037747
74,Mitsamiouli,-11.3847,43.2844,78.12,80,70,9.24,KM,1635037747
75,Auki,-8.7676,160.7034,87.13,64,29,6.29,SB,1635037748
76,Cherskiy,68.75,161.3,-3.77,99,91,4.14,RU,1635037749
77,Puerto Ayora,-0.7393,-90.3518,69.3,87,90,8.3,EC,1635037750
78,Linxia Chengguanzhen,35.6003,103.2064,46.04,72,100,0.92,CN,1635037751
